2015-10-28 14:26:18,651 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ATAF:ATAF:0.0.1-SNAPSHOT @ C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\pom.xml.
2015-10-28 14:26:51,859 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/main/java
2015-10-28 14:26:51,860 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ATAF-TRUNK/src/main/resources
2015-10-28 14:26:51,862 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/test/java
2015-10-28 14:26:58,019 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 56 sec
2015-10-28 14:27:32,821 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:27:32,867 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:27:32,893 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:27:32,900 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:30:08,811 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-10-28 14:30:10,526 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ATAF:ATAF:0.0.1-SNAPSHOT @ C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\pom.xml.
2015-10-28 14:30:17,291 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/main/java
2015-10-28 14:30:17,292 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ATAF-TRUNK/src/main/resources
2015-10-28 14:30:17,292 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/test/java
2015-10-28 14:30:22,747 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ATAF-TRUNK
2015-10-28 14:30:22,771 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 13 sec
2015-10-28 14:30:27,228 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:30:27,237 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:30:27,257 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:30:27,266 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:30:27,277 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ATAF-TRUNK
2015-10-28 14:30:27,283 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ATAF-TRUNK
2015-10-28 14:30:27,292 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:30:46,727 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ATAF-TRUNK
2015-10-28 14:30:48,152 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:30:48,408 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:30:48,468 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:30:48,491 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:30:48,500 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ATAF-TRUNK
2015-10-28 14:30:48,500 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ATAF-TRUNK
2015-10-28 14:30:48,504 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:31:20,054 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK
2015-10-28 14:31:20,060 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-10-28 14:31:30,699 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:31:30,737 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:31:30,767 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:31:30,793 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:31:30,794 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ATAF-TRUNK
2015-10-28 14:31:30,794 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ATAF-TRUNK
2015-10-28 14:31:30,816 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:31:40,935 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-10-28 14:31:48,334 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK
2015-10-28 14:31:48,334 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2015-10-28 14:32:39,437 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-10-28 14:32:39,481 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK
2015-10-28 14:32:39,481 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2015-10-28 14:34:54,340 [Worker-30] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-10-28 14:34:55,906 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ATAF:ATAF:0.0.1-SNAPSHOT @ C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\pom.xml.
2015-10-28 14:35:01,709 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/main/java
2015-10-28 14:35:01,709 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ATAF-TRUNK/src/main/resources
2015-10-28 14:35:01,720 [Worker-30] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ATAF-TRUNK/src/test/java
2015-10-28 14:35:07,905 [Worker-30] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ATAF-TRUNK
2015-10-28 14:35:07,935 [Worker-30] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 13 sec
2015-10-28 14:35:27,056 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:35:27,072 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:35:27,088 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:35:27,108 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:35:27,108 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ATAF-TRUNK
2015-10-28 14:35:27,108 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ATAF-TRUNK
2015-10-28 14:35:27,114 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:35:51,620 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK
2015-10-28 14:35:51,621 [Worker-23] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2015-10-28 14:35:55,810 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:35:55,826 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-28 14:35:55,842 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:35:55,851 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK\src\test\resources
2015-10-28 14:35:55,859 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ATAF-TRUNK
2015-10-28 14:35:55,859 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ATAF-TRUNK
2015-10-28 14:35:55,868 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-28 14:36:00,008 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-10-28 14:36:00,066 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\javier.paris\Google Drive\SVN\ATAF-TRUNK
2015-10-28 14:36:00,066 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B compile
2015-10-28 14:40:09,444 [Worker-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/commons/commons-dbcp2/2.1.1/commons-dbcp2-2.1.1.pom
